id,ra,dec,obj_type
7006481600150005914600060103,36.186326,-4.391831,No SDSS Spectro
7005836100150005914600060103,36.491895,-4.9558115,No SDSS Spectro
7006242500150005914600060103,36.309973,-4.7834167,No SDSS Spectro
7006243500150005914600060103,36.362067,-4.7556315,Error
7006243700150005914600060103,36.364665,-4.7094874,Error
7006240700150005914600060103,36.470569,-4.8369138,Error
7006440300150005914600060103,36.488589,-4.7167544,Error
7006052700150005914600060103,36.692741,-4.8654273,Error
7005825300150005914600060103,36.818843,-5.0023507,Error
7006052600150005914600060103,36.789687,-4.8550896,No SDSS Spectro
7006056300150005914600060103,36.749583,-4.7418386,Error
7006054200150005914600060103,36.8041,-4.7767829,Error
7006251300150005914600060103,36.313976,-4.6691849,Error
7006444600150005914600060103,36.552709,-4.5670717,Error
7006445700150005914600060103,36.574436,-4.5192043,Error
7006453900150005914600060103,36.35786,-4.4871182,Error
7006454800150005914600060103,36.331193,-4.4527467,No SDSS Spectro
7006453200150005914600060103,36.431424,-4.4762831,Error
7006456100150005914600060103,36.376151,-4.3524462,Error
7006455800150005914600060103,36.40486,-4.3591528,Error
7006456800150005914600060103,36.540153,-4.4105533,Error
7006456900150005914600060103,36.505336,-4.3809873,Error
7006459000150005914600060103,36.532383,-4.3119962,Error
7006442400150005914600060103,36.650326,-4.5747426,Error
7006441200150005914600060103,36.711701,-4.6265908,No SDSS Spectro
7006448400150005914600060103,36.70416,-4.4629455,Error
7006450000150005914600060103,36.727783,-4.3630783,Error
7006414200150005914600060103,34.653246,-4.2637858,No SDSS Spectro
7006407800150005914600060103,34.769764,-4.2798937,Error
7006408100150005914600060103,34.802726,-4.1867683,Error
7006417900150005914600060103,34.789756,-4.1407356,No SDSS Spectro
7006411700150005914600060103,34.889927,-4.2210365,No SDSS Spectro
7006411500150005914600060103,34.924668,-4.2259219,Error
7006378100150005914600060103,35.033475,-4.3420827,Error
7006378500150005914600060103,35.102807,-4.2994201,Error
7006408300150005914600060103,34.992285,-4.2854985,Error
7006379700150005914600060103,35.105806,-4.2388098,Error
7006412000150005914600060103,34.853263,-4.1812339,Error
7006419700150005914600060103,34.956134,-4.0518608,Error
7006408400150005914600060103,35.091745,-4.143671,No SDSS Spectro
7006420600150005914600060103,34.908672,-4.013825,Error
7006433600150005914600060103,34.939694,-3.7816671,Error
11955214000150005914600060103,35.106679,-3.820731,No SDSS Spectro
7006379200150005914600060103,35.143673,-4.2510799,Error
7006383400150005914600060103,35.386409,-4.3605113,No SDSS Spectro
7006392700150005914600060103,35.295958,-4.2338857,Error
7006392300150005914600060103,35.358739,-4.2806104,Error
7006424500150005914600060103,35.135029,-4.0589701,Error
7006396700150005914600060103,35.286868,-4.1221957,Error
7006396000150005914600060103,35.334739,-4.1262649,Error
7006386800150005914600060103,35.475916,-4.249606,Error
7006394100150005914600060103,35.461058,-4.2062502,Error
7006382100150005914600060103,35.569702,-4.2888646,Error
7006388300150005914600060103,35.692685,-4.2474581,Error
7006390700150005914600060103,35.555522,-4.1750598,Error
7006398200150005914600060103,35.518054,-4.0429116,Error
7006399000150005914600060103,35.627918,-4.0573008,Error
7006399100150005914600060103,35.618376,-4.0314079,Error
7006425100150005914600060103,35.286755,-3.9955696,Error
7006429200150005914600060103,35.271559,-3.9336391,Error
7006427700150005914600060103,35.35395,-3.9610275,No SDSS Spectro
7006428600150005914600060103,35.370736,-3.910715,Error
7006401800150005914600060103,35.419495,-3.9737149,No SDSS Spectro
7006627200150005914600060103,35.536065,-3.8061379,No SDSS Spectro
