id,ra,dec,obj_type,prob_Galaxy,prob_Star,prob_QSO
7006202900150005914600060103,35.441361,-5.0383999,No class,-1,-1,-1
7006257000150005914600060103,35.469603,-5.0055827,No class,-1,-1,-1
7006228100150005914600060103,35.6103,-5.0205202,No class,-1,-1,-1
7006260100150005914600060103,35.51391,-4.9059262,No class,-1,-1,-1
7006261300150005914600060103,35.507909,-4.8026242,No class,-1,-1,-1
7006263800150005914600060103,35.623427,-4.8283716,No class,-1,-1,-1
7006265000150005914600060103,35.666345,-4.7481838,No class,-1,-1,-1
7006358100150005914600060103,35.134415,-4.7049361,No class,-1,-1,-1
7006271600150005914600060103,35.269355,-4.7111316,No class,-1,-1,-1
7006271900150005914600060103,35.273549,-4.6837631,No class,-1,-1,-1
7006275100150005914600060103,35.387943,-4.6302771,No class,-1,-1,-1
7006376100150005914600060103,35.160705,-4.421582,No class,-1,-1,-1
7006377200150005914600060103,35.252198,-4.3907959,No class,-1,-1,-1
7006365500150005914600060103,35.3127,-4.532121,No class,-1,-1,-1
7006370100150005914600060103,35.326923,-4.3773906,No class,-1,-1,-1
7006275900150005914600060103,35.513508,-4.5760998,No class,-1,-1,-1
7006274200150005914600060103,35.659948,-4.6351104,No class,-1,-1,-1
7006286600150005914600060103,35.631854,-4.5490218,No class,-1,-1,-1
7006287000150005914600060103,35.68506,-4.5630735,No class,-1,-1,-1
7006366300150005914600060103,35.464123,-4.4813506,No class,-1,-1,-1
7006289600150005914600060103,35.533825,-4.4596429,No class,-1,-1,-1
7006288000150005914600060103,35.677266,-4.5051592,No class,-1,-1,-1
7005752300150005914600060103,35.770965,-5.7141642,No class,-1,-1,-1
7005753000150005914600060103,35.774911,-5.6709431,No class,-1,-1,-1
7005750100150005914600060103,35.962907,-5.6306613,No class,-1,-1,-1
7006168700150005914600060103,35.7267,-5.4819243,No class,-1,-1,-1
7005746500150005914600060103,36.097949,-5.7632531,No class,-1,-1,-1
7005750700150005914600060103,36.055709,-5.5959971,No class,-1,-1,-1
7005722800150005914600060103,36.154633,-5.7531054,No class,-1,-1,-1
7005804700150005914600060103,36.055865,-5.456932,No class,-1,-1,-1
7005799200150005914600060103,36.13163,-5.4719224,No class,-1,-1,-1
7006169600150005914600060103,35.735266,-5.3486663,No class,-1,-1,-1
7006216900150005914600060103,35.812818,-5.3176227,No class,-1,-1,-1
7006218700150005914600060103,35.70698,-5.2481143,No class,-1,-1,-1
7006224900150005914600060103,35.715688,-5.1201518,No class,-1,-1,-1
7006225000150005914600060103,35.801911,-5.106962,No class,-1,-1,-1
7006223000150005914600060103,35.946709,-5.0980367,No class,-1,-1,-1
7005806600150005914600060103,36.099859,-5.3446668,No class,-1,-1,-1
7005808300150005914600060103,36.066804,-5.2844724,No class,-1,-1,-1
7005809200150005914600060103,36.201229,-5.3500448,No class,-1,-1,-1
7005803500150005914600060103,36.232392,-5.366646,No class,-1,-1,-1
7005813300150005914600060103,36.192396,-5.1410316,No class,-1,-1,-1
7005774500150005914600060103,36.424619,-5.592325,No class,-1,-1,-1
7005772100150005914600060103,36.549978,-5.6699082,No class,-1,-1,-1
7005777100150005914600060103,36.485111,-5.5807258,No class,-1,-1,-1
7005777900150005914600060103,36.42662,-5.4974372,No class,-1,-1,-1
7005800500150005914600060103,36.399335,-5.4463705,No class,-1,-1,-1
