specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
7028498200150095919200060103,20.763461,-0.9719188,QSO,BROADLINE,1.556789,0.00026210066,0,,,,,,,19.0591,19.0591,18.1397,,,,,,[ 6.238415 18.890162 20.25759  23.781618 16.564066],3.2954302,4505,1.1163738,"[0.36921373 0.10166113 0.03521595 0.02214839 0.01594684 0.01173865
 0.00908084 0.00708749 0.00620155 0.00531561]",0.73904437,1.1046702,0.3644385,0.053620156
7028736400150095919200060103,20.753762,-0.848087,QSO,BROADLINE,0.871649,0.0004988382,0,,,,,,,20.8791,20.8791,20.0503,,,,,,[1.5878072 4.198512  3.7221026 3.7272255 3.387906 ],1.199865,4510,0.9750847,"[0.30597344 0.05884956 0.01017699 0.00420354 0.00176991 0.00132743
 0.00110619 0.00088496 0.00088496 0.00044248]",,,,0.05000288
7028706700150095919200060103,20.866444,-0.9400939,STAR,F3/F5V (30743),-0.00037911345,7.652914e-06,0,,,,,,,17.1331,17.1331,16.419,,,,,,[13.862449 43.551823 50.616352 50.986614 40.59875 ],1.2874697,4511,1.0142641,"[3.2883084e-01 6.5766163e-02 1.0850310e-02 2.8786536e-03 1.9929141e-03
 1.7714791e-03 8.8573957e-04 2.2143489e-04 2.2143489e-04 2.2143489e-04]",2.78168,-15.690451,0.3401918,0.052953653
7028697800150095919200060103,21.051969,-1.0138373,GALAXY,,0.6290263,0.00013089087,0,,,,,,,18.2692,18.2692,16.5339,,,,,,[ 2.1529949 18.935133  30.970795  44.906002  42.005978 ],10.88176,4503,2.6688266,"[0.69356984 0.4399113  0.27006653 0.1518847  0.08403548 0.04545455
 0.02971175 0.02017738 0.01330377 0.01019956]",-0.27486828,-0.10954951,0.0796841,0.044715628
7028706900150095919200060103,21.025828,-0.9348638,STAR,F3/F5V (30743),-6.351325e-05,7.5417133e-06,0,,,,,,,16.3713,16.3713,15.6438,,,,,,[17.261225 51.553852 60.43246  60.24621  52.27225 ],1.3054125,4503,0.96198875,"[3.0279502e-01 6.3664593e-02 1.5306123e-02 4.2147292e-03 8.8731147e-04
 2.2182787e-04 2.2182787e-04 2.2182787e-04 2.2182787e-04 0.0000000e+00]",0.20328996,0.71069777,0.42450097,0.042487204
7028739600150095919200060103,20.646421,-0.780407,QSO,BROADLINE,0.9104306,0.00010882048,0,,,,,,,19.9227,19.9227,19.4314,,,,,,[2.1067288 7.429617  8.205472  7.758768  6.573201 ],1.0106512,4506,0.9548863,"[3.0026573e-01 4.6501327e-02 6.6430471e-03 1.1071744e-03 2.2143489e-04
 2.2143489e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",-0.8210544,-0.823917,0.19135289,0.05010322
7028738700150095919200060103,20.837792,-0.763857,STAR,Carbon,0.00040298988,3.404022e-05,0,,,,,,,18.5285,18.5285,16.9972,,,,,,[ 2.4024785 18.025093  32.661003  40.221146  32.90872  ],5.292503,4503,2.0461948,"[0.63753325 0.33340728 0.15749778 0.0661047  0.02484472 0.01286602
 0.00887311 0.00665484 0.0055457  0.00332742]",-3.202919,5.132312,0.78229856,0.045697298
7028749700150095919200060103,20.601047,-0.5854165,QSO,BROADLINE,2.065859,0.0020146884,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[2.161721  2.9845273 2.2343907 2.4086766 2.0075846],1.0142454,4512,0.96404386,"[3.0375114e-01 4.9634036e-02 6.1756633e-03 1.1436413e-03 6.8618479e-04
 2.2872827e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.04832587
7028750200150095919200060103,20.667195,-0.544371,GALAXY,,0.0,0.0,134,,,,,,,18.5021,18.5021,17.786,,,,,,[0. 0. 0. 0. 0.],0.0,0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.25138834,0.13955459,-0.29818198,0.046855483
7028753600150095919200060103,20.856489,-0.4708464,QSO,BROADLINE,1.4544077,0.00080721243,0,,,,,,,20.315,20.315,19.7684,,,,,,[3.560031  7.910005  7.508039  7.7230353 4.856654 ],1.0678228,4512,0.9722579,"[0.30561697 0.05351614 0.00818222 0.00132685 0.00088456 0.00044228
 0.00044228 0.         0.         0.        ]",0.42703626,1.3598673,-1.1798284,0.032277144
7028747000150095919200060103,20.945895,-0.4762269,STAR,F0IV (81937),-0.0002844563,1.2151523e-05,0,,,,,,,17.636,17.636,16.938,,,,,,[ 9.819979 35.141243 40.141888 42.13587  31.509491],1.1596788,4517,0.96911335,"[0.30716497 0.0559487  0.01282618 0.00420168 0.00154799 0.00110571
 0.00088456 0.         0.         0.        ]",9.281592,-6.442303,0.108845845,0.031502746
7028756400150095919200060103,21.064747,-0.5551433,QSO,BROADLINE,2.263964,0.0026803173,0,,,,,,,18.978,18.978,18.3493,,,,,,[ 4.034458 15.596586 15.980608 16.019686 11.792548],2.0717537,4510,1.0879064,"[0.36212787 0.08809175 0.03172279 0.01512933 0.00976086 0.00780869
 0.00536847 0.0034163  0.00195217 0.00122011]",0.42774564,-0.03203199,0.40035215,0.030774616
7028870200150095919200060103,20.744094,-0.2580041,STAR,F3/F5V (30743),-0.0004818461,1.2359879e-05,0,,,,,,,17.5243,17.5243,16.8084,,,,,,[11.381223 34.44691  39.8407   41.51167  33.43783 ],1.1067457,4505,0.9302978,"[0.28935698 0.04656319 0.01108647 0.00487805 0.00266075 0.00088692
 0.00088692 0.00044346 0.         0.        ]",13.175206,-0.12738594,0.15978083,0.035246857
7028765200150095919200060103,20.89209,-0.3858483,QSO,BROADLINE,0.7121334,0.00026859366,0,,,,,,,20.6486,20.6486,19.7535,,,,,,[2.2148418 5.7784123 5.5599647 6.896196  5.456682 ],1.1059297,4509,0.97642004,"[3.1157336e-01 5.5100687e-02 9.0728039e-03 2.4341668e-03 6.6386367e-04
 4.4257578e-04 4.4257578e-04 2.2128789e-04 0.0000000e+00 0.0000000e+00]",-0.4427522,0.025094664,1.3800552,0.031423986
7028857000150095919200060103,20.560099,-0.18853548,QSO,BROADLINE,2.1582885,0.0010940059,0,,,,,,,20.7459,20.7459,19.9732,,,,,,[3.5204954 6.594538  6.8265433 6.912839  5.123109 ],1.0636678,4519,0.9615337,"[3.0192217e-01 4.5241445e-02 6.3291141e-03 1.6408814e-03 4.6882324e-04
 2.3441162e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",2.9624631,1.804245,-0.5217701,0.04333538
7028856900150095919200060103,20.593438,-0.186326,QSO,,1.0723712,0.00069500017,0,,,,,,,20.8278,20.8278,19.7415,,,,,,[2.3728018 5.059136  5.179496  5.0359406 3.410911 ],1.0317011,4510,0.91542596,"[0.28318584 0.04424779 0.0079646  0.00176991 0.00132743 0.00088496
 0.00088496 0.00066372 0.00066372 0.00044248]",2.4688044,2.141636,-0.76551145,0.041084643
7028857300150095919200060103,20.565224,-0.16755832,QSO,BROADLINE,2.3122797,0.0011629731,0,,,,,,,20.6439,20.6439,20.0434,,,,,,[1.548812  5.015457  4.6706014 5.1226873 4.244503 ],1.0388429,4492,0.90730923,"[2.7976337e-01 4.1163422e-02 1.0598965e-02 2.2183880e-03 9.8595023e-04
 2.4648756e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",5.6370764,2.8305004,-2.0898712,0.039306574
7028874300150095919200060103,20.707739,-0.1190229,QSO,BROADLINE,1.6331724,0.0011025426,0,,,,,,,20.5649,20.5649,19.9581,,,,,,[2.083048  6.2886376 5.633887  6.5971484 4.220575 ],0.999477,4508,0.88958853,"[2.6848164e-01 3.7405930e-02 4.6480745e-03 1.9920319e-03 8.8534749e-04
 6.6401064e-04 6.6401064e-04 2.2133687e-04 2.2133687e-04 2.2133687e-04]",-0.23965545,-3.9687028,-0.55433804,0.035962127
